case_id,activity,start_ts,end_ts,duration_minutes
173688,A_SUBMITTED,2011-10-01 01:38:44.546000+03:00,2011-10-01 01:38:44.546000+03:00,0.0
173688,A_PARTLYSUBMITTED,2011-10-01 01:38:44.880000+03:00,2011-10-01 01:38:44.880000+03:00,0.0
173688,A_PREACCEPTED,2011-10-01 01:39:37.906000+03:00,2011-10-01 01:39:37.906000+03:00,0.0
173688,A_ACCEPTED,2011-10-01 12:42:43.308000+03:00,2011-10-01 12:42:43.308000+03:00,0.0
173688,O_SELECTED,2011-10-01 12:45:09.243000+03:00,2011-10-01 12:45:09.243000+03:00,0.0
173688,A_FINALIZED,2011-10-01 12:45:09.243000+03:00,2011-10-01 12:45:09.243000+03:00,0.0
173688,O_CREATED,2011-10-01 12:45:11.197000+03:00,2011-10-01 12:45:11.197000+03:00,0.0
173688,O_SENT,2011-10-01 12:45:11.380000+03:00,2011-10-01 12:45:11.380000+03:00,0.0
173688,W_Completeren aanvraag,2011-10-01 12:36:46.437000+03:00,2011-10-01 12:45:13.917000+03:00,8.458
173688,W_Nabellen offertes,2011-10-01 13:15:41.290000+03:00,2011-10-01 13:17:08.924000+03:00,1.4605666666666666
173688,W_Nabellen offertes,2011-10-08 17:26:57.720000+03:00,2011-10-08 17:32:00.886000+03:00,5.052766666666667
173688,O_SENT_BACK,2011-10-10 12:33:03.668000+03:00,2011-10-10 12:33:03.668000+03:00,0.0
173688,W_Nabellen offertes,2011-10-10 12:32:22.495000+03:00,2011-10-10 12:33:05.791000+03:00,0.7216
173688,A_REGISTERED,2011-10-13 11:37:29.226000+03:00,2011-10-13 11:37:29.226000+03:00,0.0
173688,A_APPROVED,2011-10-13 11:37:29.226000+03:00,2011-10-13 11:37:29.226000+03:00,0.0
173688,O_ACCEPTED,2011-10-13 11:37:29.226000+03:00,2011-10-13 11:37:29.226000+03:00,0.0
173688,A_ACTIVATED,2011-10-13 11:37:29.226000+03:00,2011-10-13 11:37:29.226000+03:00,0.0
173688,W_Valideren aanvraag,2011-10-13 11:05:26.925000+03:00,2011-10-13 11:37:37.026000+03:00,32.168350000000004
173691,A_SUBMITTED,2011-10-01 09:08:58.256000+03:00,2011-10-01 09:08:58.256000+03:00,0.0
173691,A_PARTLYSUBMITTED,2011-10-01 09:09:02.195000+03:00,2011-10-01 09:09:02.195000+03:00,0.0
173691,A_PREACCEPTED,2011-10-01 09:09:56.648000+03:00,2011-10-01 09:09:56.648000+03:00,0.0
173691,W_Completeren aanvraag,2011-10-01 12:37:32.393000+03:00,2011-10-01 12:43:13.178000+03:00,5.67975
173691,A_ACCEPTED,2011-10-01 15:33:54.614000+03:00,2011-10-01 15:33:54.614000+03:00,0.0
173691,A_FINALIZED,2011-10-01 15:35:46.016000+03:00,2011-10-01 15:35:46.016000+03:00,0.0
173691,O_SELECTED,2011-10-01 15:35:46.016000+03:00,2011-10-01 15:35:46.016000+03:00,0.0
173691,O_CREATED,2011-10-01 15:35:47.488000+03:00,2011-10-01 15:35:47.488000+03:00,0.0
173691,O_SENT,2011-10-01 15:35:47.583000+03:00,2011-10-01 15:35:47.583000+03:00,0.0
173691,W_Completeren aanvraag,2011-10-01 15:27:57.775000+03:00,2011-10-01 15:35:48.791000+03:00,7.850266666666667
173691,W_Nabellen offertes,2011-10-01 15:36:13.443000+03:00,2011-10-01 15:36:25.794000+03:00,0.20584999999999998
173691,O_SELECTED,2011-10-03 17:56:17.731000+03:00,2011-10-03 17:56:17.731000+03:00,0.0
